Building,floor,Number,type,Area,Net area,price
A1,1,1,3+1,210,152,930
A1,1,2,3+1,210,152,930
A1,1,3,2+1,127,94,930
A1,1,4,2+1,127,94,930
A1,1,5,2+1,127,94,930
A1,1,6,2+1,127,94,930
A1,1,7,1+1,88,65.5,930
A1,1,8,1+1,88,65.5,930
A1,2,1,3+1,210,152,930
A1,2,2,3+1,210,152,930
A1,2,3,2+1,127,94,930
A1,2,4,2+1,127,94,930
A1,2,5,2+1,127,94,930
A1,2,6,2+1,127,94,930
A1,2,7,1+1,88,65.5,930
A1,2,8,1+1,88,65.5,930
A1,3,1,3+1,210,152,930
A1,3,2,3+1,210,152,930
A1,3,3,2+1,127,94,930
A1,3,4,2+1,127,94,930
A1,3,5,2+1,127,94,930
A1,3,6,2+1,127,94,930
A1,3,7,1+1,88,65.5,930
A1,3,8,1+1,88,65.5,930
A1,4,1,3+1,210,152,930
A1,4,2,3+1,210,152,930
A1,4,3,2+1,127,94,930
A1,4,4,2+1,127,94,930
A1,4,5,2+1,127,94,930
A1,4,6,2+1,127,94,930
A1,4,7,1+1,88,65.5,930
A1,4,8,1+1,88,65.5,930
A1,5,1,3+1,210,152,930
A1,5,2,3+1,210,152,930
A1,5,3,2+1,127,94,930
A1,5,4,2+1,127,94,930
A1,5,5,2+1,127,94,930
A1,5,6,2+1,127,94,930
A1,5,7,1+1,88,65.5,930
A1,5,8,1+1,88,65.5,930
A1,6,1,3+1,210,152,930
A1,6,2,3+1,210,152,930
A1,6,3,2+1,127,94,930
A1,6,4,2+1,127,94,930
A1,6,5,2+1,127,94,930
A1,6,6,2+1,127,94,930
A1,6,7,1+1,88,65.5,930
A1,6,8,1+1,88,65.5,930
A1,7,1,3+1,210,152,930
A1,7,2,3+1,210,152,930
A1,7,3,2+1,127,94,930
A1,7,4,2+1,127,94,930
A1,7,5,2+1,127,94,930
A1,7,6,2+1,127,94,930
A1,7,7,1+1,88,65.5,930
A1,7,8,1+1,88,65.5,930
A1,8,1,3+1,210,152,930
A1,8,2,3+1,210,152,930
A1,8,3,2+1,127,94,930
A1,8,4,2+1,127,94,930
A1,8,5,2+1,127,94,930
A1,8,6,2+1,127,94,930
A1,8,7,1+1,88,65.5,930
A1,8,8,1+1,88,65.5,930
A1,9,1,3+1,210,152,930
A1,9,2,3+1,210,152,930
A1,9,3,2+1,127,94,930
A1,9,4,2+1,127,94,930
A1,9,5,2+1,127,94,930
A1,9,6,2+1,127,94,930
A1,9,7,1+1,88,65.5,930
A1,9,8,1+1,88,65.5,930
A1,10,1,3+1,210,152,930
A1,10,2,3+1,210,152,930
A1,10,3,2+1,127,94,930
A1,10,4,2+1,127,94,930
A1,10,5,2+1,127,94,930
A1,10,6,2+1,127,94,930
A1,10,7,1+1,88,65.5,930
A1,10,8,1+1,88,65.5,930
A1,11,1,3+1,210,152,930
A1,11,2,3+1,210,152,930
A1,11,3,2+1,127,94,930
A1,11,4,2+1,127,94,930
A1,11,5,2+1,127,94,930
A1,11,6,2+1,127,94,930
A1,11,7,1+1,88,65.5,930
A1,11,8,1+1,88,65.5,930
A1,12,1,3+1,210,152,930
A1,12,2,3+1,210,152,930
A1,12,3,2+1,127,94,930
A1,12,4,2+1,127,94,930
A1,12,5,2+1,127,94,930
A1,12,6,2+1,127,94,930
A1,12,7,1+1,88,65.5,930
A1,12,8,1+1,88,65.5,930
A1,13,1,3+1,210,152,930
A1,13,2,3+1,210,152,930
A1,13,3,2+1,127,94,930
A1,13,4,2+1,127,94,930
A1,13,5,2+1,127,94,930
A1,13,6,2+1,127,94,930
A1,13,7,1+1,88,65.5,930
A1,13,8,1+1,88,65.5,930
A1,14,1,3+1,210,152,930
A1,14,2,3+1,210,152,930
A1,14,3,2+1,127,94,930
A1,14,4,2+1,127,94,930
A1,14,5,2+1,127,94,930
A1,14,6,2+1,127,94,930
A1,14,7,1+1,88,65.5,930
A1,14,8,1+1,88,65.5,930
A1,15,1,3+1,210,152,930
A1,15,2,3+1,210,152,930
A1,15,3,2+1,127,94,930
A1,15,4,2+1,127,94,930
A1,15,5,2+1,127,94,930
